name,init,mult,size_x,size_y,run_nr,time
FalseTrue10241024,False,True,1024,1024,5,72.69
FalseTrue6432,False,True,64,32,11,71.49
TrueFalse1024128,True,False,1024,128,3,72.33
TrueTrue64128,True,True,64,128,7,72.06
TrueFalse64256,True,False,64,256,5,72.35
FalseTrue3232,False,True,32,32,8,73.0
TrueTrue6464,True,True,64,64,11,72.34
FalseTrue512512,False,True,512,512,11,72.57
FalseTrue64128,False,True,64,128,10,72.09
FalseTrue25664,False,True,256,64,1,72.31
TrueTrue5121024,True,True,512,1024,6,72.31
TrueFalse102464,True,False,1024,64,3,71.69
TrueFalse256128,True,False,256,128,4,72.26
TrueTrue3216,True,True,32,16,11,71.99
FalseTrue10241024,False,True,1024,1024,1,71.81
FalseTrue5121024,False,True,512,1024,3,73.24
TrueFalse2561024,True,False,256,1024,4,72.26
TrueFalse1024256,True,False,1024,256,9,72.62
TrueFalse256512,True,False,256,512,4,72.31
FalseTrue256128,False,True,256,128,4,71.75
FalseTrue256128,False,True,256,128,2,70.98
TrueFalse128512,True,False,128,512,6,72.46
TrueFalse1024256,True,False,1024,256,7,72.17
TrueTrue2561024,True,True,256,1024,10,72.47
TrueFalse1024512,True,False,1024,512,2,72.22
TrueTrue3232,True,True,32,32,8,72.03
TrueFalse128128,True,False,128,128,0,71.72
TrueFalse64256,True,False,64,256,3,72.38
FalseTrue1024128,False,True,1024,128,0,72.23
TrueFalse3264,True,False,32,64,11,72.58
FalseTrue512512,False,True,512,512,6,72.23
TrueTrue128256,True,True,128,256,8,72.41
TrueFalse6432,True,False,64,32,5,72.46
TrueFalse1024128,True,False,1024,128,2,72.39
TrueTrue6416,True,True,64,16,11,71.89
TrueTrue1281024,True,True,128,1024,3,73.55
TrueFalse51264,True,False,512,64,6,71.79
TrueTrue1024512,True,True,1024,512,6,72.14
TrueFalse1024512,True,False,1024,512,10,72.46
TrueTrue1024512,True,True,1024,512,1,71.57
TrueFalse1664,True,False,16,64,5,72.38
FalseTrue1281024,False,True,128,1024,6,70.79
TrueTrue12864,True,True,128,64,8,72.28
TrueTrue256128,True,True,256,128,5,72.21
TrueTrue6464,True,True,64,64,9,72.07
FalseTrue1616,False,True,16,16,4,72.18
FalseTrue256256,False,True,256,256,0,72.14
FalseTrue1281024,False,True,128,1024,2,71.88
FalseTrue256512,False,True,256,512,7,71.64
FalseTrue5121024,False,True,512,1024,6,72.27
TrueTrue641024,True,True,64,1024,4,72.25
TrueTrue10241024,True,True,1024,1024,8,72.35
TrueFalse256128,True,False,256,128,0,72.54
TrueFalse6464,True,False,64,64,1,72.27
TrueTrue1616,True,True,16,16,5,72.12
FalseTrue64256,False,True,64,256,3,71.89
FalseTrue3216,False,True,32,16,5,72.71
FalseTrue6416,False,True,64,16,9,70.74
TrueTrue2561024,True,True,256,1024,7,72.6
FalseTrue512256,False,True,512,256,9,72.4
FalseTrue2561024,False,True,256,1024,9,72.32
TrueFalse1024128,True,False,1024,128,7,72.57
TrueFalse128256,True,False,128,256,7,72.29
TrueFalse1024512,True,False,1024,512,8,71.13
TrueFalse512128,True,False,512,128,8,71.8
TrueFalse1664,True,False,16,64,6,72.03
FalseTrue256512,False,True,256,512,2,72.18
TrueTrue12864,True,True,128,64,10,72.43
TrueTrue512256,True,True,512,256,0,72.2
FalseTrue1024128,False,True,1024,128,8,71.46
TrueFalse512256,True,False,512,256,11,72.33
FalseTrue1024512,False,True,1024,512,1,71.4
TrueFalse12864,True,False,128,64,3,71.93
TrueTrue3216,True,True,32,16,8,72.3
TrueTrue128512,True,True,128,512,0,71.88
TrueFalse64256,True,False,64,256,10,72.48
TrueTrue2561024,True,True,256,1024,3,72.38
TrueTrue25664,True,True,256,64,2,72.14
TrueTrue64512,True,True,64,512,5,71.37
TrueTrue1616,True,True,16,16,6,71.64
FalseTrue128512,False,True,128,512,4,72.36
FalseTrue51264,False,True,512,64,9,72.77
TrueTrue1632,True,True,16,32,5,72.31
FalseTrue3216,False,True,32,16,3,72.51
TrueTrue3216,True,True,32,16,6,72.03
TrueTrue1664,True,True,16,64,10,72.39
TrueTrue25664,True,True,256,64,1,72.29
TrueTrue64256,True,True,64,256,6,72.12
FalseTrue2561024,False,True,256,1024,11,72.19
TrueFalse64256,True,False,64,256,0,72.26
FalseTrue64512,False,True,64,512,7,70.78
TrueTrue1281024,True,True,128,1024,5,72.4
FalseTrue25664,False,True,256,64,0,71.32
TrueTrue64128,True,True,64,128,6,71.52
FalseTrue10241024,False,True,1024,1024,3,72.07
TrueFalse1024512,True,False,1024,512,5,72.13
TrueFalse25664,True,False,256,64,9,72.44
FalseTrue128256,False,True,128,256,6,72.21
TrueTrue128256,True,True,128,256,1,71.89
TrueFalse12864,True,False,128,64,7,72.06
TrueFalse256512,True,False,256,512,9,71.65
TrueFalse2561024,True,False,256,1024,1,72.28
FalseTrue102464,False,True,1024,64,2,73.03
FalseTrue1281024,False,True,128,1024,5,72.47
FalseTrue1024512,False,True,1024,512,11,72.17
TrueFalse256256,True,False,256,256,0,72.28
TrueFalse1024512,True,False,1024,512,9,71.59
FalseTrue6416,False,True,64,16,7,71.71
TrueFalse6464,True,False,64,64,9,72.32
TrueTrue512512,True,True,512,512,1,72.25
TrueTrue512512,True,True,512,512,10,72.22
FalseTrue1024256,False,True,1024,256,2,72.76
FalseTrue64512,False,True,64,512,8,70.05
FalseTrue1632,False,True,16,32,5,70.64
FalseTrue1616,False,True,16,16,9,72.25
TrueTrue5121024,True,True,512,1024,0,71.55
FalseTrue128128,False,True,128,128,10,72.41
TrueTrue102464,True,True,1024,64,1,71.39
TrueTrue1024256,True,True,1024,256,1,72.24
TrueFalse512256,True,False,512,256,2,72.47
TrueFalse128256,True,False,128,256,4,72.43
FalseTrue6416,False,True,64,16,8,72.59
TrueFalse256128,True,False,256,128,6,72.47
TrueTrue6464,True,True,64,64,2,71.58
TrueTrue256512,True,True,256,512,1,72.09
TrueTrue3232,True,True,32,32,5,72.1
TrueTrue3232,True,True,32,32,4,72.1
TrueFalse512128,True,False,512,128,4,73.03
TrueFalse3232,True,False,32,32,3,72.61
TrueTrue512128,True,True,512,128,0,71.52
FalseTrue256256,False,True,256,256,7,72.19
TrueTrue51264,True,True,512,64,6,72.33
TrueTrue12864,True,True,128,64,6,72.2
FalseTrue12864,False,True,128,64,3,72.36
TrueTrue128128,True,True,128,128,9,71.97
