real,kernel,user,max,avg
63.78,20.19,392.98,1391904,0
62.68,19.98,393.42,1391904,0
64.12,20.25,394.81,1390908,0
60.70,20.25,394.61,1391808,0
63.39,20.08,394.81,1389944,0
59.64,20.30,393.62,1391660,0
60.79,20.21,394.93,1390832,0
61.12,19.87,393.82,1390896,0
60.84,20.47,395.48,1392288,0
63.54,20.25,394.42,1391668,0
62.78,20.00,394.03,1391016,0
63.17,21.07,396.87,1392876,0
63.79,19.95,394.74,1390044,0
62.65,20.31,396.66,1390700,0
59.83,19.98,393.85,1392128,0
64.15,19.85,395.55,1391512,0
61.94,20.98,393.97,1393224,0
62.59,20.03,393.47,1389896,0
63.25,20.16,394.71,1390720,0
63.83,20.21,395.92,1391272,0
62.66,20.20,395.90,1393144,0
