name,elem_size,ins_mix,num_elems,repetitions,time,control,control2,control3
array, 8, 0, 10, 4271637, 5.000000, 24, 24, 8
linked list, 8, 0, 10, 4084894, 5.000000, 24, 24, 8
linked list (alt.), 8, 0, 10, 4082555, 5.000000, 24, 24, 8
array, 8, 0, 1000, 4279834, 5.000001, 1194, -82, 8
linked list, 8, 0, 1000, 78438, 5.000037, 2394, 99, 8
linked list (alt.), 8, 0, 1000, 78365, 5.000051, 1494, -37, 8
array, 512, 0, 10, 2077352, 5.000001, 24, 95, 512
linked list, 512, 0, 10, 1977670, 5.000002, 24, 147, 512
linked list (alt.), 512, 0, 10, 1972310, 5.000001, 24, 57, 512
array, 512, 0, 1000, 2071477, 5.000002, 2094, 519, 512
linked list, 512, 0, 1000, 75508, 5.000041, 2394, 456, 512
linked list (alt.), 512, 0, 1000, 75600, 5.000015, 2994, 535, 512
array, 8M, 0, 10, 72, 5.062385, 24, 11887, 8388608
linked list, 8M, 0, 10, 69, 5.001738, 24, 31495, 8388608
linked list (alt.), 8M, 0, 10, 64, 5.046895, 24, 48759, 8388608
array, 8M, 0, 1000, 75, 5.007970, 1494, 25797, 8388608
linked list, 8M, 0, 1000, 72, 5.069967, 594, 42761, 8388608
linked list (alt.), 8M, 0, 1000, 65, 5.053913, 1494, 22494, 8388608
array, 8, 1, 10, 4340891, 5.000001, 138258326, -126, 8
linked list, 8, 1, 10, 4065972, 5.000001, 781919364, -143, 8
linked list (alt.), 8, 1, 10, 4049024, 5.000001, 0, 0, 8
array, 8, 1, 1000, 3651085, 5.000001, 1147131840, 58, 8
linked list, 8, 1, 1000, 78248, 5.000040, -1957839668, -160, 8
linked list (alt.), 8, 1, 1000, 76882, 5.000002, -42863948, 20, 8
array, 512, 1, 10, 2067963, 5.000001, 21, 852, 512
linked list, 512, 1, 10, 1877875, 5.000001, 21, 635, 512
linked list (alt.), 512, 1, 10, 1878509, 5.000002, 21, 10, 512
array, 512, 1, 1000, 1895892, 5.000001, 588, 274, 512
linked list, 512, 1, 1000, 74327, 5.000070, 2088, 410, 512
linked list (alt.), 512, 1, 1000, 74719, 5.000103, 2688, 703, 512
array, 8M, 1, 10, 66, 5.039794, 144, 39624, 8388608
linked list, 8M, 1, 10, 71, 5.043132, 144, 22330, 8388608
linked list (alt.), 8M, 1, 10, 69, 5.064271, 144, 20867, 8388608
array, 8M, 1, 1000, 69, 5.071291, 144, 30538, 8388608
linked list, 8M, 1, 1000, 76, 5.061343, 144, 30475, 8388608
linked list (alt.), 8M, 1, 1000, 65, 5.033402, 144, 36071, 8388608
array, 8, 10, 10, 4244939, 5.000001, 162, -94, 8
linked list, 8, 10, 10, 3545496, 5.000000, 162, -94, 8
linked list (alt.), 8, 10, 10, 3619499, 5.000001, 162, -94, 8
array, 8, 10, 1000, 1464739, 5.000001, 72252, 87, 8
linked list, 8, 10, 1000, 75333, 5.000007, 23652, 192, 8
linked list (alt.), 8, 10, 1000, 75456, 5.000000, 47952, 11, 8
array, 512, 10, 10, 2039911, 5.000000, 18, 153, 512
linked list, 512, 10, 10, 1818350, 5.000000, 18, 52, 512
linked list (alt.), 512, 10, 10, 1802462, 5.000000, 18, 492, 512
array, 512, 10, 1000, 1070569, 5.000003, 2688, 120, 512
linked list, 512, 10, 1000, 71970, 5.000089, 2988, 613, 512
linked list (alt.), 512, 10, 1000, 72072, 5.000003, 588, 386, 512
array, 8M, 10, 10, 69, 5.015698, 144, 23013, 8388608
linked list, 8M, 10, 10, 74, 5.016326, 144, 11988, 8388608
linked list (alt.), 8M, 10, 10, 70, 5.051140, 144, 32100, 8388608
array, 8M, 10, 1000, 75, 5.025634, 144, 45337, 8388608
linked list, 8M, 10, 1000, 69, 5.024617, 144, 24411, 8388608
linked list (alt.), 8M, 10, 1000, 72, 5.010291, 144, 44551, 8388608
array, 8, 50, 10, 4021462, 5.000001, 2076032365, 98, 8
linked list, 8, 50, 10, 3051758, 5.000001, 1300843085, 109, 8
linked list (alt.), 8, 50, 10, 3054460, 5.000001, -281724859, 161, 8
array, 8, 50, 1000, 734145, 5.000003, 4464, 129, 8
linked list, 8, 50, 1000, 71196, 5.000003, 5364, 8, 8
linked list (alt.), 8, 50, 1000, 71090, 5.000056, 8964, 39, 8
array, 512, 50, 10, 1966876, 5.000002, 63, 16, 512
linked list, 512, 50, 10, 1677151, 5.000000, 63, 84, 512
linked list (alt.), 512, 50, 10, 1648392, 5.000000, 63, 506, 512
array, 512, 50, 1000, 618812, 5.000003, 1764, 638, 512
linked list, 512, 50, 1000, 67510, 5.000078, 8964, 473, 512
linked list (alt.), 512, 50, 1000, 68325, 5.000008, 4464, 663, 512
array, 8M, 50, 10, 69, 5.057875, 432, 14151, 8388608
linked list, 8M, 50, 10, 68, 5.029279, 432, 25217, 8388608
linked list (alt.), 8M, 50, 10, 71, 5.006236, 432, 23476, 8388608
array, 8M, 50, 1000, 71, 5.027549, 864, 2644, 8388608
linked list, 8M, 50, 1000, 72, 5.013962, 1764, 26231, 8388608
linked list (alt.), 8M, 50, 1000, 66, 5.027111, 5364, 36730, 8388608
array, 8, 0, 100000, 4242485, 5.000000, 145494, 144, 8
linked list, 8, 0, 100000, 641, 5.007839, 192294, 23, 8
linked list (alt.), 8, 0, 100000, 640, 5.007367, 191994, -23, 8
array, 8, 0, 10000000, 4219310, 5.000000, 5792994, 158, 8
linked list, 8, 0, 10000000, 614, 5.007780, 184194, -173, 8
linked list (alt.), 8, 0, 10000000, 615, 5.007387, 184494, -128, 8
array, 512, 0, 100000, 2052444, 5.000001, 133194, 401, 512
linked list, 512, 0, 100000, 641, 5.014109, 192294, 618, 512
linked list (alt.), 512, 0, 100000, 640, 5.000861, 191994, 567, 512
array, 512, 0, 10000000, 2038254, 5.000001, 11476194, 409, 512
linked list, 512, 0, 10000000, 616, 5.011792, 184794, 505, 512
linked list (alt.), 512, 0, 10000000, 615, 5.011785, 184494, 754, 512
array, 8, 1, 100000, 102063, 5.000008, -184430936, -148, 8
linked list, 8, 1, 100000, 645, 5.004689, 193488, -59, 8
linked list (alt.), 8, 1, 100000, 645, 5.002296, 193488, -59, 8
array, 8, 1, 10000000, 269, 5.007760, 80688, 108, 8
linked list, 8, 1, 10000000, 619, 5.008162, 185688, 47, 8
linked list (alt.), 8, 1, 10000000, 620, 5.000597, 185988, -164, 8
array, 512, 1, 100000, 99214, 5.000064, 64188, 424, 512
linked list, 512, 1, 100000, 645, 5.003563, 193488, 133, 512
linked list (alt.), 512, 1, 100000, 645, 5.014757, 193488, 378, 512
array, 512, 1, 10000000, 260, 5.003226, 77988, 102, 512
linked list, 512, 1, 10000000, 618, 5.000004, 185388, 46, 512
linked list (alt.), 512, 1, 10000000, 619, 5.013815, 185688, 633, 512
array, 8, 10, 100000, 10262, 5.000240, 2121552, 207, 8
linked list, 8, 10, 100000, 656, 5.001132, 196788, -73, 8
linked list (alt.), 8, 10, 100000, 657, 5.014112, 197088, -28, 8
array, 8, 10, 10000000, 27, 5.032285, 8088, -73, 8
linked list, 8, 10, 10000000, 630, 5.012562, 188988, 32, 8
linked list (alt.), 8, 10, 10000000, 629, 5.013776, 188688, -13, 8
array, 512, 10, 100000, 10284, 5.000522, 85188, 405, 512
linked list, 512, 10, 100000, 656, 5.007549, 196788, 576, 512
linked list (alt.), 512, 10, 100000, 656, 5.002009, 196788, 388, 512
array, 512, 10, 10000000, 27, 5.055290, 8088, 341, 512
linked list, 512, 10, 10000000, 626, 5.014736, 187788, 345, 512
linked list (alt.), 512, 10, 10000000, 625, 5.002636, 187488, 90, 512
array, 8, 50, 100000, 4088, 5.000855, 79164, 114, 8
linked list, 8, 50, 100000, 611, 5.003536, 549864, 83, 8
linked list (alt.), 8, 50, 100000, 612, 5.014689, 550764, 219, 8
array, 8, 50, 10000000, 11, 5.333466, 9864, -82, 8
linked list, 8, 50, 10000000, 586, 5.011008, 527364, 24, 8
linked list (alt.), 8, 50, 10000000, 586, 5.007588, 527364, 24, 8
array, 512, 50, 100000, 4085, 5.000925, 76464, 188, 512
linked list, 512, 50, 100000, 612, 5.002646, 550764, 369, 512
linked list (alt.), 512, 50, 100000, 613, 5.013501, 551664, 158, 512
array, 512, 50, 10000000, 11, 5.121565, 9864, 525, 512
linked list, 512, 50, 10000000, 588, 5.009759, 529164, 377, 512
linked list (alt.), 512, 50, 10000000, 583, 5.000730, 524664, 54, 512
