Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 81.82     28.79    28.79        1    28.79    33.22  luaV_execute
  8.68     31.85     3.06 310000031     0.00     0.00  luaD_pretailcall
  4.94     33.59     1.74 306946270     0.00     0.00  luaD_precall
  1.46     34.10     0.52 271946189     0.00     0.00  luaH_getshortstr
  0.58     34.31     0.21 35000103     0.00     0.00  luaT_getvarargs
  0.51     34.49     0.18 20000290     0.00     0.00  freeobj
  0.27     34.58     0.10                             unroll
  0.23     34.66     0.08 25000004     0.00     0.00  luaV_tointeger
  0.17     34.72     0.06   857155     0.00     0.00  atomic
  0.16     34.78     0.06 10000001     0.00     0.00  luaF_findupval
  0.14     34.83     0.05 40000947     0.00     0.00  l_alloc
  0.14     34.88     0.05 20000430     0.00     0.00  luaM_free_
  0.14     34.93     0.05                             luaM_toobig
  0.11     34.97     0.04   285781     0.00     0.00  propagatemark
  0.10     35.00     0.04       12     0.00     0.00  luaH_getint
  0.09     35.03     0.03 20000364     0.00     0.00  luaM_malloc_
  0.09     35.06     0.03 20000290     0.00     0.00  luaC_newobjdt
  0.09     35.09     0.03 10000002     0.00     0.00  luaF_closeupval
  0.06     35.11     0.02        1     0.02     0.02  enterinc
  0.03     35.12     0.01 20000290     0.00     0.00  luaC_newobj
  0.03     35.13     0.01   286013     0.00     0.00  reallymarkobject
  0.03     35.14     0.01   142861     0.00     0.00  separatetobefnz
  0.03     35.15     0.01   142860     0.00     0.00  luaS_clearcache
  0.03     35.16     0.01       42     0.00     0.00  luaM_shrinkvector_
  0.03     35.17     0.01                             luaV_tointegerns
  0.03     35.18     0.01                             panic
  0.01     35.19     0.01        4     0.00     0.00  luaT_adjustvarargs
  0.01     35.19     0.01        1     0.01     0.01  luaF_initupvals
  0.00     35.19     0.00 10000006     0.00     0.00  luaF_newLclosure
  0.00     35.19     0.00   571441     0.00     0.00  clearbyvalues
  0.00     35.19     0.00   571440     0.00     0.00  correctgraylist
  0.00     35.19     0.00   285720     0.00     0.00  clearbykeys
  0.00     35.19     0.00   285720     0.00     0.00  convergeephemerons
  0.00     35.19     0.00   285720     0.00     0.00  markold
  0.00     35.19     0.00   142868     0.00     0.00  luaE_setdebt
  0.00     35.19     0.00   142866     0.00     0.00  luaC_step
  0.00     35.19     0.00   142861     0.00     0.00  markbeingfnz
  0.00     35.19     0.00   142861     0.00     0.00  markmt
  0.00     35.19     0.00   142860     0.00     0.00  finishgencycle
  0.00     35.19     0.00      676     0.00     0.00  save
  0.00     35.19     0.00      580     0.00     0.00  luaS_newudata
  0.00     35.19     0.00      395     0.00     0.00  luaH_newkey
  0.00     35.19     0.00      382     0.00     0.00  index2value
  0.00     35.19     0.00      373     0.00     0.00  luaH_getstr
  0.00     35.19     0.00      366     0.00     0.00  luaS_newlstr
  0.00     35.19     0.00      359     0.00     0.00  internshrstr
  0.00     35.19     0.00      357     0.00     0.00  luaM_growaux_
  0.00     35.19     0.00      323     0.00     0.00  luaS_new
  0.00     35.19     0.00      254     0.00     0.00  luaH_finishset
  0.00     35.19     0.00      236     0.00     0.00  luaS_remove
  0.00     35.19     0.00      234     0.00     0.00  llex
  0.00     35.19     0.00      234     0.00     0.00  luaX_next
  0.00     35.19     0.00      224     0.00     0.00  luaH_get
  0.00     35.19     0.00      214     0.00     0.00  auxsetstr
  0.00     35.19     0.00      203     0.00     0.00  luaV_finishset
  0.00     35.19     0.00      203     0.00     0.00  lua_setfield
  0.00     35.19     0.00      191     0.00     0.00  luaK_dischargevars
  0.00     35.19     0.00      179     0.00     0.00  luaH_set
  0.00     35.19     0.00      167     0.00     0.00  lua_pushcclosure
  0.00     35.19     0.00      162     0.00     0.00  savelineinfo
  0.00     35.19     0.00      152     0.00     0.00  luaM_realloc_
  0.00     35.19     0.00      126     0.00     0.00  luaK_code
  0.00     35.19     0.00      122     0.00     0.00  luaX_newstring
  0.00     35.19     0.00      110     0.00     0.00  luaH_realasize
  0.00     35.19     0.00      108     0.00     0.00  luaM_saferealloc_
  0.00     35.19     0.00       96     0.00     0.00  luaE_incCstack
  0.00     35.19     0.00       90     0.00     0.00  singlevaraux
  0.00     35.19     0.00       82     0.00     0.00  lua_settop
  0.00     35.19     0.00       79     0.00     0.00  str_checkname
  0.00     35.19     0.00       77     0.00     0.00  luaK_reserveregs
  0.00     35.19     0.00       66     0.00     0.00  discharge2reg
  0.00     35.19     0.00       66     0.00     0.00  exp2reg
  0.00     35.19     0.00       63     0.00     0.00  luaK_exp2nextreg
  0.00     35.19     0.00       58     0.00     0.00  singlevar
  0.00     35.19     0.00       55     0.00     0.00  subexpr
  0.00     35.19     0.00       55     0.00     0.00  suffixedexp
  0.00     35.19     0.00       49     0.00     0.00  luaC_fix
  0.00     35.19     0.00       48     0.00     0.00  freeregs
  0.00     35.19     0.00       46     0.00     0.00  getgeneric
  0.00     35.19     0.00       44     0.00     0.00  luaY_nvarstack
  0.00     35.19     0.00       43     0.00     0.00  inclinenumber
  0.00     35.19     0.00       42     0.00     0.00  addk
  0.00     35.19     0.00       42     0.00     0.00  removelastlineinfo
  0.00     35.19     0.00       41     0.00     0.00  luaH_resize
  0.00     35.19     0.00       41     0.00     0.00  luaK_exp2anyreg
  0.00     35.19     0.00       40     0.00     0.00  check_next2
  0.00     35.19     0.00       40     0.00     0.00  luaO_ceillog2
  0.00     35.19     0.00       40     0.00     0.00  lua_pushvalue
  0.00     35.19     0.00       40     0.00     0.00  str2K
  0.00     35.19     0.00       39     0.00     0.00  check_match
  0.00     35.19     0.00       37     0.00     0.00  luaK_exp2anyregup
  0.00     35.19     0.00       37     0.00     0.00  luaK_indexed
  0.00     35.19     0.00       36     0.00     0.00  lua_getfield
  0.00     35.19     0.00       34     0.00     0.00  luaV_equalobj
  0.00     35.19     0.00       33     0.00     0.00  luaE_extendCI
  0.00     35.19     0.00       31     0.00     0.00  luaD_poscall
  0.00     35.19     0.00       29     0.00     0.00  explist
  0.00     35.19     0.00       29     0.00     0.00  luaG_traceexec
  0.00     35.19     0.00       24     0.00     0.00  lua_pushstring
  0.00     35.19     0.00       23     0.00     0.00  checknext
  0.00     35.19     0.00       22     0.00     0.00  luaK_fixline
  0.00     35.19     0.00       22     0.00     0.00  new_localvar
  0.00     35.19     0.00       22     0.00     0.00  tonumeral
  0.00     35.19     0.00       21     0.00     0.00  luaH_free
  0.00     35.19     0.00       21     0.00     0.00  luaH_new
  0.00     35.19     0.00       19     0.00     0.00  addstr2buff
  0.00     35.19     0.00       19     0.00     0.00  luaK_codeABCk
  0.00     35.19     0.00       18     0.00     0.00  lua_createtable
  0.00     35.19     0.00       17     0.00     0.00  gethexa
  0.00     35.19     0.00       17     0.00     0.00  luaO_str2num
  0.00     35.19     0.00       17     0.00     0.00  lua_pushboolean
  0.00     35.19     0.00       17     0.00     0.00  lua_rotate
  0.00     35.19     0.00       17     0.00     0.00  statement
  0.00     35.19     0.00       16     0.00     0.00  adjustlocalvars
  0.00     35.19     0.00       16     0.00     0.00  funcargs
  0.00     35.19     0.00       16     0.00     0.00  luaD_callnoyield
  0.00     35.19     0.00       16     0.00     0.00  luaL_checkstack
  0.00     35.19     0.00       16     0.00     0.00  lua_checkstack
  0.00     35.19     0.00       15     0.00     0.00  luaL_setfuncs
  0.00     35.19     0.00       15     0.00     0.00  lua_absindex
  0.00     35.19     0.00       15     0.00     0.00  lua_getmetatable
  0.00     35.19     0.00       15     0.00     0.00  warnfon
  0.00     35.19     0.00       14     0.00     0.00  leaveblock
  0.00     35.19     0.00       14     0.00     0.00  luaK_int
  0.00     35.19     0.00       14     0.00     0.00  luaV_finishget
  0.00     35.19     0.00       13     0.00     0.00  check_readonly
  0.00     35.19     0.00       13     0.00     0.00  luaK_ret
  0.00     35.19     0.00       13     0.00     0.00  luaK_storevar
  0.00     35.19     0.00       13     0.00     0.00  luaL_getsubtable
  0.00     35.19     0.00       13     0.00     0.00  luaS_hashlongstr
  0.00     35.19     0.00       13     0.00     0.00  lua_tolstring
  0.00     35.19     0.00       11     0.00     0.00  luaK_exp2RK
  0.00     35.19     0.00       11     0.00     0.00  luaK_finish
  0.00     35.19     0.00       11     0.00     0.00  lua_setglobal
  0.00     35.19     0.00       10     0.00     0.00  codeABRK
  0.00     35.19     0.00       10     0.00     0.00  luaK_setreturns
  0.00     35.19     0.00       10     0.00     0.00  luaL_checkversion_
  0.00     35.19     0.00       10     0.00     0.00  luaL_requiref
  0.00     35.19     0.00       10     0.00     0.00  lua_callk
  0.00     35.19     0.00       10     0.00     0.00  lua_toboolean
  0.00     35.19     0.00       10     0.00     0.00  lua_touserdata
